PARAM,AVG_TIME,RUN,FAILED,NB_INSTANCES
1,122.86812235132292ms,1,0,1
1,80.11408573683136ms,2,0,1
1,69.40267247368506ms,3,0,1
10,66.49328611047811ms,1,0,1
10,66.63826468966225ms,2,0,1
10,65.39710979250071ms,3,0,1
20,75.18728852631402ms,1,0,1
20,73.4169235305834ms,2,0,1
20,75.28266598285853ms,3,0,1
50,489.6607620360731ms,1,1,1
50,455.51054649112825ms,2,1,1
50,157.91787749581152ms,3,1,1
100,820.5657604877963ms,1,1,1
100,834.544342655347ms,2,1,1
100,971.1956104749096ms,3,1,1
1000,5115.128959518996ms,1,1,1
1000,3863.456083905278ms,2,1,1
1000,2371.140002100503ms,3,1,1
